rule_id,active,student_level,interest_tags,destination_tags,min_spm_credits,required_subjects_json,min_cgpa,budget_min,budget_max,english_min,constraints_json,pathway_title,pathway_summary,cost_estimate_text,visa_note,scholarship_likelihood,readiness_gaps,next_steps,priority_weight
SPM_IT_LOCAL_01,true,SPM,IT|Engineering,Malaysia,5,"{""math"":""C"",""english"":""C""}",,800,3000,Intermediate,"{""work_part_time_ok"":true,""timeline_fast_track"":true}",Foundation in IT (Local),Start with a local foundation before degree progression,"RM 800-3000/month","General note: verify latest study and work rules with official channels.",Medium,"English speaking practice|Portfolio mini-project|CV preparation","Apply to 2 local institutions and prepare portfolio in 30 days",10
SPM_IT_LOCAL_BUDGET_02,true,SPM,IT|Data,Malaysia,4,"{""math"":""D"",""english"":""C""}",,500,1800,Beginner,"{""work_part_time_ok"":true,""timeline_fast_track"":false}",Certificate to Diploma in IT (Local),Start from certificate then progress into diploma in IT,"RM 500-1800/month","General note: progression pathways vary by provider.",High,"English foundation|Basic coding practice|Time management","Enroll in entry pathway and complete weekly learning routine",8
SPM_BUSINESS_LOCAL_01,true,SPM,Business|Economics,Malaysia,5,"{""math"":""C"",""english"":""C""}",,900,2800,Intermediate,"{""work_part_time_ok"":true}",Business Diploma (Local),Build core business fundamentals through local diploma route,"RM 900-2800/month","General note: internship and progression requirements differ by institution.",Medium,"Excel basics|Interview prep|Personal statement draft","Shortlist 3 programs and prepare interview talking points",9
SPM_ENGINEERING_LOCAL_01,true,SPM,Engineering|IT,Malaysia,6,"{""math"":""B"",""english"":""C"",""science"":""C""}",,1200,3500,Intermediate,"{""work_part_time_ok"":false,""timeline_fast_track"":true}",Engineering Foundation (Local),Enter engineering foundation with structured progression plan,"RM 1200-3500/month","General note: lab and safety requirements are institution specific.",Medium,"Math refresher|Physics concepts|Study schedule planning","Prepare STEM revision plan and join one prep class",8
SPM_HEALTH_LOCAL_01,true,SPM,Health|Science,Malaysia,5,"{""english"":""C"",""science"":""C""}",,1000,3200,Intermediate,"{""work_part_time_ok"":false}",Allied Health Diploma (Local),Begin allied health pathway through approved local diploma track,"RM 1000-3200/month","General note: clinical placement rules vary and can change.",Medium,"Communication skills|Bio basics|Document checklist","Check entry health requirements and gather documents early",8
SPM_CREATIVE_LOCAL_01,true,SPM,Creative|Design,Malaysia,3,"{""english"":""C""}",,600,2500,Beginner,"{""work_part_time_ok"":true}",Creative Diploma (Local),Build a creative portfolio pathway through local diploma route,"RM 600-2500/month","General note: portfolio quality heavily affects outcomes.",Medium,"Portfolio starter|Mentor feedback|Time management","Create 3-piece portfolio and join one showcase event",7
SPM_HOSPITALITY_LOCAL_01,true,SPM,Business|Health,Malaysia,3,"{""english"":""C""}",,700,2200,Beginner,"{""work_part_time_ok"":true,""timeline_fast_track"":true}",Hospitality Diploma (Local),Start practical hospitality training with industry exposure,"RM 700-2200/month","General note: internship terms differ by campus and employer.",High,"Customer communication|Service etiquette|CV building","Practice customer scenarios and prepare internship-ready CV",7
SPM_DATA_LOCAL_01,true,SPM,Data|IT,Malaysia,5,"{""math"":""C"",""english"":""C""}",,1100,3200,Intermediate,"{""work_part_time_ok"":true}",Data Analytics Prep Diploma (Local),Develop data fundamentals before degree progression,"RM 1100-3200/month","General note: software curriculum differs by institution.",Medium,"Spreadsheet skills|Statistics basics|Portfolio case study","Complete one simple data project and document your process",8
SPM_BUSINESS_OVERSEAS_01,true,SPM,Business|Economics,Australia|UK,6,"{""math"":""C"",""english"":""B""}",,2500,7000,Advanced,"{""work_part_time_ok"":true}",Business Diploma Pathway (Overseas),Progress through diploma-to-degree business track overseas,"RM 2500-7000/month","General note: visa and work eligibility depend on destination policy.",Low,"English test score improvement|Scholarship documents|Financial planning","Build scholarship shortlist and complete English benchmark",7
SPM_IT_OVERSEAS_01,true,SPM,IT|Data,Singapore|Australia,6,"{""math"":""B"",""english"":""B""}",,2800,7500,Advanced,"{""work_part_time_ok"":true}",IT Foundation to Degree (Overseas),Use foundation pathway for overseas IT degree progression,"RM 2800-7500/month","General note: destination-specific visa and internship limits apply.",Low,"English benchmark|Coding portfolio|Funding planning","Prepare coding portfolio and verify entry requirements",7
